question,answer,page,category,made_date
彼は語学学校で英語を勉強しています,He studies English at a language school there.,P88,textbook,2022-04-08
彼は学校でたくさんのアジア人の生徒に会っています,He meets many Asian students at school.,P88,textbook,2022-04-08
たくやは平日に学校に行って週末にスキューバダイビングを楽しんでいます,"Takuya gose to school on weekdays, and sometimes enjoys scuba diving on weekends.",P88,textbook,2022-04-08
セブにはたくさんの綺麗なビーチがあります,Ceb has many beautiful beaches.,P88,textbook,2022-04-08
彼と彼の友達はダイビングに一緒に行きます,He and his friends go diving together.,P88,textbook,2022-04-08
彼は本当にセブが好きです,He really likes Cebu.,P88,textbook,2022-04-08
たくやは、セブでのダイビングのための学校生活、地元の食べ物、ナチュア、そして素敵なスポーツについてのブログを書いています,"Takuya writes a blog about school life, local food, natuer, and nice sports for diving in Cebu.",P88,textbook,2022-04-08
彼はそんなにブログを書きませんがたくさんのコメントをもらっています,"He doesn't write very often, but he gets a lot of nice comments.",P88,textbook,2022-04-08
私は彼のブログを非常に楽しんでいます,I enjoy his blog very much.,P88,textbook,2022-04-08
たくやはよく写真を彼のブログに投稿していますが、海の中の写真をとれません,"Takuya usually posts pictures on his blog, but he can't take pictures in the sea.",P88,textbook,2022-04-08
彼は防水カメラを持っていません,He doesn't have a waterproof camera.,P88,textbook,2022-04-08
だから彼はそれを望んでいます,So he wants one.,P88,textbook,2022-04-08
彼は本当に綺麗な海の生物が大好きです,He really loves beautiful sea life.,P88,textbook,2022-04-08
誰か質問はありますか,Does anyone have any questions?,P88,textbook,2022-04-08
彼はフィリピンの食べ物は好きですか？,Does he like Filipino food?,P88,textbook,2022-04-08
それは酸っぱいスープです,It's a sour soup.,P88,textbook,2022-04-08
一月,January,P88,textbook,2022-04-08
2月,February,P88,textbook,2022-04-08
三月,March,P88,textbook,2022-04-08
4月,April,P88,textbook,2022-04-08
5月,May,P88,textbook,2022-04-08
六月,June,P88,textbook,2022-04-08
七月,July,P88,textbook,2022-04-08
八月,August,P88,textbook,2022-04-08
九月,September,P88,textbook,2022-04-08
10月,October,P88,textbook,2022-04-08
十一月,November,P88,textbook,2022-04-08
十二月,December,P88,textbook,2022-04-08
彼はデザートの中ではどんな食べ物が好きですか,What does he like for dessert?,P88,textbook,2022-04-08
ハローハロ。それはパフェに似ています,Halo-halo. It's like a parfait.,P88,textbook,2022-04-08
アイスリームとフルーツと甘い豆とシャーベットが入れてあります,"It's a mix of ice cream, fruit, sweet beans, shaved ice, and so on.",P88,textbook,2022-04-08
ハローホロはフィリピン語でパフェを意味しますか,"Does halo-halo mean ""parfait"" in Filipino?",P88,textbook,2022-04-08
いいえ、そうではありません。それはミックスを意味します,"No, it doesn't. It means ""mix.""",P88,textbook,2022-04-08
それは面白いですね!,That's interesting!,P88,textbook,2022-04-08
この写真の男性を見てください,Look at the man in this picture.,P88,textbook,2022-04-08
彼を知っていますか,Do you know him?,P88,textbook,2022-04-08
彼はユアンクレイグでオーストラリアで生まれました,He's Euan Craig from Australia.,P88,textbook,2022-04-08
彼は陶器を作っています,He makes pottery.,P88,textbook,2022-04-08
日本は今午前9時です,It's 9 a.m. in Japan now.,P88,textbook,2022-04-08
ニュージーランドは今何時ですか？,What animals can we see in New Zealand?,P88,textbook,2022-04-08
正午です,It's noon.,P88,textbook,2022-04-08
あなたはおなかがすいていますか？,Are you hungry?,P88,textbook,2022-04-08
私たちはモーニングティーをします,We have morning tea.,P88,textbook,2022-04-08
だから私はお腹が空いていないです,So I'm not hungry.,P88,textbook,2022-04-08
モーニングティーとは何ですか？,"What's ""morning tea""?",P88,textbook,2022-04-08
それは二時間目の終わりにある短い休憩のことです。,It's a short break after second period.,P88,textbook,2022-04-08
私たちは短い休憩の間にお菓子やフルーツを食べます,We eat some fruit or snacks during the break.,P88,textbook,2022-04-08
それは面白いですね！,That's interesting!,P88,textbook,2022-04-08
あなたは何時にお昼ご飯を食べますか？,What time do you have lunch?,P88,textbook,2022-04-08
ニュージーランドではどんな動物を見る事ができますか？,What animals can we see in New Zeland?,P88,textbook,2022-04-08
あなたは羊やキーウィなどを見る事ができます。,"You can see sheep, kiwis,",P88,textbook,2022-04-08
キーウィはフルーツのことですか？,"KIwis are fruit, right?",P88,textbook,2022-04-08
キーウィは鳥でもあります,"Kiwis are birds, too.",P88,textbook,2022-04-08
彼らは茶色で丸っこくてキウイフルーツに似ています,They're brown and round like kiwi fruits.,P88,textbook,2022-04-08
彼らは私たちの国のシンボルです。,They're our national symbol.,P88,textbook,2022-04-08
どんなスポーツが好きですか？,What sport do you like?,P88,textbook,2022-04-08
私はネットボールが好きです。,I like netball.,P88,textbook,2022-04-08
私はネットボールのチームに入っています,I'm on the netball team.,P88,textbook,2022-04-08
それはバスケットボールに似ています,It's a sport like basketball.,P88,textbook,2022-04-08
フットボールのことですか？,You mean football?,P88,textbook,2022-04-08
ラケットを何本持っていますか？,How many rackets do you have?,P88,textbook,2022-04-08
天気はどうですか？,How is the weather?,P88,textbook,2022-04-08
何時に起きますか？,What time do you get up?,P88,textbook,2022-04-08
これは誰のバッグですか？,Whose bag is this?,P88,textbook,2022-04-08
あれは誰ですか？,Who is that?,P88,textbook,2022-04-08
いつピアノを練習しますか？,When do you practice the piano?,P88,textbook,2022-04-08
誕生日はいつですか？,When is your birthday?,P88,textbook,2022-04-08
私のペンはどこですか？,Where is my pen?,P88,textbook,2022-04-08
これは何ですか？,What is this?,P88,textbook,2022-04-08
どのように学校に来ますか？,How do you come to school?,P88,textbook,2022-04-08
猫と犬のどちらが欲しいですか？,"Which do you want, a cat or a dog?",P88,textbook,2022-04-08
私は日曜日に練習をします。,I practice it on Sundays.,P88,textbook,2022-04-08
それは机の上にあります。,It is on the desk.,P88,textbook,2022-04-08
私たちはみどりに住んでいます。,We live in Midori.,P88,textbook,2022-04-08
あれは私のお父さんです。,That is my father.,P88,textbook,2022-04-08
私はご飯と味噌汁を食べます。,I have rice and miso soup.,P88,textbook,2022-04-08
今日は晴れです。,It is sunny today.,P88,textbook,2022-04-08
私は自転車で学校に来ます。,I come to school by bike.,P88,textbook,2022-04-08
かばんが欲しいです。,I want a bag.,P88,textbook,2022-04-08
私のものです。,It is mine.,P88,textbook,2022-04-08
それはキーウィ鳥です。,It is a kiwi bird.,P88,textbook,2022-04-08
あなたはどこに住んでいますか？,Where do you live?,P88,textbook,2022-04-08
わかば駅の近くに住んでいます。,I live near Wakaba Station.,P88,textbook,2022-04-08
私は卓球を練習します。,I practice table tennis.,P88,textbook,2022-04-08
あなたは放課後にサッカーをしますか？,Do you play soccer after school?,P88,textbook,2022-04-08
あなたはいつサッカーをしますか？,When do you play soccer?,P88,textbook,2022-04-08
あれはティムです。　ティム＝Tim,That is Tim.,P88,textbook,2022-04-08
どんな食べ物が好きですか？,What food do you like?,P88,textbook,2022-04-08
彼は卵が好きです。,He likes eggs.,P88,textbook,2022-04-08
ペンはどこですか？,Where is the pen?,P88,textbook,2022-04-08
ノートブックの上です。,It's on the notebook.,P88,textbook,2022-04-08
定規はどこですか？,Where is the ruler?,P88,textbook,2022-04-08
カップの中です。,It's in the cup.,P88,textbook,2022-04-08
この部屋で喋ってはいけません。,Don't speak this room.,P88,textbook,2022-04-08
私はピアノが弾きたいです。,I want to play the piano.,P88,textbook,2022-04-08
あなたたちはどこでダンスを練習しますか？,Where do you practice the dance?,P88,textbook,2022-04-08
あなたは何時に起きますか？,What time do you get up?,P88,textbook,2022-04-08
どんな果物が好きですか？,What fruit do you like?,P88,textbook,2022-04-08
卵何個欲しいですか？,How many eggs do you want?,P88,textbook,2022-04-08
ベッドは窓のそばにあります。,The bed is by the window.,P88,textbook,2022-04-08
木の下の少年を見てください。,Look at the boy under the tree.,P88,textbook,2022-04-08
早紀は部屋にいます。,Saki is in the room.,P88,textbook,2022-04-08
犬と一緒にいる少女は由紀です,The girl with the dog is Yuki.,P88,textbook,2022-04-08
私は体育館に行きました。,I went to the gym.,P88,textbook,2022-04-08
あなたはカバンの中に何を持っていますか？,What do you have in your bag?,P88,textbook,2022-04-08
私は公園で走る事が好きです。,I like running in the park.,P88,textbook,2022-04-08
私は歌う事が得意ではありません。,I'm not good at singing.,P88,textbook,2022-04-08
私は動物園でたくさんの動物を見ました。,I saw lots of animals the zoo.,P88,textbook,2022-04-08
ステージの上の少年はたくです,The boy on the stage is Taku.,P88,textbook,2022-04-08
私は昨日動物園に行きました。,I went to the zoo yesterday.,P88,textbook,2022-04-08
私は大きな魚を見ました。,I saw a big fish.,P88,textbook,2022-04-08
私はサッカーをすることを楽しみました。,I enjoyed playing soccer.,P88,textbook,2022-04-08
私たちはとてもおいしいサラダを食べました。,We ate delicious salad.,P88,textbook,2022-04-08
私は夏の間素晴らしい時を過ごしました。,I had a great time during the summer.,P88,textbook,2022-04-08
なおは図書館へ行きました。,Nao went to the library.,P88,textbook,2022-04-08
私は良い時間を過ごしました。,I had a good time.,P88,textbook,2022-04-08
私たちは花火を見て楽しみました。,We enjoyed seeing fireworks.,P88,textbook,2022-04-08
私は大きなリンゴを食べました。,I ate a big apple.,P88,textbook,2022-04-08
ミンホは昨日山へ行きました。,Minho went to the mountain yesterday.,P88,textbook,2022-04-08
私は海で泳いで楽しみました。,I enjoyed swimming in the sea.,P88,textbook,2022-04-08
私はそのレストランで昼食を食べました。,I had lunch at the restaurant.,P88,textbook,2022-04-08
私はあなたのことを駅で見ましたよ、ブラウン先生。,"I saw you at the station, Mr. Brown.",P88,textbook,2022-04-08
私はピアノを弾く事が好きです。,I like playing the piano.,P88,textbook,2022-04-08
私はピアノを弾く事が得意です。,I am good at playing the piano.,P88,textbook,2022-04-08
私は公園を歩く事が好きです。,I like walking in the park.,P88,textbook,2022-04-08
私はスープを作る事が得意ではありません。,I'm not good at making soup.,P88,textbook,2022-04-08
私たちは軽食を食べる事が好きです。,We like eating snacks.,P88,textbook,2022-04-08
私は絵を描く事が好きです。,I like drawing.,P88,textbook,2022-04-08
私は踊る事が好きではありません。,I don't like dancing.,P88,textbook,2022-04-08
ケンタは木に登る事が得意です。,Kenta is good at climbing trees.,P88,textbook,2022-04-08
私はテニスをする事が得意ではありません。,I'm not good at playing tennis.,P88,textbook,2022-04-08
私は歌う事が得意です。,I'm good at singing.,P88,textbook,2022-04-08
私は今忙しい。,I am busy now.,P88,textbook,2022-04-08
私は昨日の夜忙しかった。,I was busy last night.,P88,textbook,2022-04-08
けんは今日ご機嫌です。,Ken is happy today.,P88,textbook,2022-04-08
けんは昨日悲しかった。,Ken was sad yesterday.,P88,textbook,2022-04-08
えみとさくらは私のクラスメートです。,Emi and Sakura are my classmates.,P88,textbook,2022-04-08
えみとさくらは去年私のクラスメートでした。,Emi and Sakura were my classmates last year.,P88,textbook,2022-04-08
あなたは台所にいるの？,Are you in the kitchen?,P88,textbook,2022-04-08
あなたは昨晩台所にいたの？,Were you in the kitchen last night?,P88,textbook,2022-04-08
今日は暑くない,It is not hot today.,P88,textbook,2022-04-08
昨日は暑くなかった。,It was not hot yesterday.,P88,textbook,2022-04-08
私は毎週日曜に母を手伝います。,I help my mother every Sunday.,P88,textbook,2022-04-08
私は昨夜母を手伝いました。,I helped my mother last night.,P88,textbook,2022-04-08
けんは昨日テニスをしました。,Ken played tennis yesterday.,P88,textbook,2022-04-08
私は毎日学校に行きます。,I go to school every day.,P88,textbook,2022-04-08
私は昨日学校に行きました。,I went to school yesterday.,P88,textbook,2022-04-08
けんはテニスが好きです。,Ken likes tennis.,P88,textbook,2022-04-08
彼はテニスを毎日します。,He plays tennis every day.,P88,textbook,2022-04-08
えみは英語を教えています。,Emi teaches English.,P88,textbook,2022-04-08
彼女は毎朝学校に行きます。,She goes to school every morning.,P88,textbook,2022-04-08
ミンホはバナナを毎日食べます。,Minho eats bananas every day.,P88,textbook,2022-04-08
彼女は毎週末日本語を勉強します。,She studies Jaoanese on weekends.,P88,textbook,2022-04-08
君のお兄さんは料理ができますか？,Can your brother cook?,P88,textbook,2022-04-08
彼は毎朝朝食にスープを作ります。,He makes soup for breakfast every morning.,P88,textbook,2022-04-08
しゅんは野球をします。,Shun plays baseball.,P88,textbook,2022-04-08
えみは歩いて学校に行きます。,Emi walks to school.,P88,textbook,2022-04-08
ゆかは土曜日に公園に行きます。,Yuka goes to the park on Saturdays.,P88,textbook,2022-04-08
けんはラケットを持っています。,Ken has a racket.,P88,textbook,2022-04-08
なつみはピアノの練習をします。,Natsumi practices the piano.,P88,textbook,2022-04-08
あやは毎週映画を見ます。,Aya watches movies every week.,P88,textbook,2022-04-08
ベッキーは納豆が好きです。,Becky likes natto.,P88,textbook,2022-04-08
ベッキーは納豆が好きではありません。,Becky doesn't like natto.,P88,textbook,2022-04-08
ゆりは日曜日にピアノを弾く,Yuri plays the piano on Sunday.,P88,textbook,2022-04-08
あなたは将来何になりたいの？,What do you want to be in the future?,P88,textbook,2022-04-08
みなさんこんにちは,"Hello, everyone.",P88,textbook,2022-04-08
めぐと呼んでください,Call me Meg.,P88,textbook,2022-04-08
私はよくお茶も飲みます,"I often drink green tea, too.",P88,textbook,2022-04-08
あなたはラグビーファンですか？,Are you a rugby fan?,P88,textbook,2022-04-08
あなたはシドニー出身ですか？,Are you from Sydney?,P88,textbook,2022-04-08
私はクリケットファンです,I'm a cricket fan.,P88,textbook,2022-04-08
サッカーはどうですか？,How about soccer?,P88,textbook,2022-04-08
サッカーは好きですか？,Do you like soccer?,P88,textbook,2022-04-08
バドミントンはするの？,Do you play badminton?,P88,textbook,2022-04-08
体育館を見ることができますか？,Can you see the gym?,P88,textbook,2022-04-08
私たちはあそこでバドミントンをすることができます,We can play badminton there.,P88,textbook,2022-04-08
私は漢字を読むことができません,I can't read kanij.,P88,textbook,2022-04-08
彼女は私たちの新しい先生です。,She's our new English teacher.,P88,textbook,2022-04-08
あれは魚市場ですか？,Is that a fish market?,P88,textbook,2022-04-08
あれは魚屋です。,It's a sushi restaurant.,P88,textbook,2022-04-08
そのレストランは人気ですか？,Is the restaurant popular?,P88,textbook,2022-04-08
それはいつもとても混んでます。,It's always very crowded.,P88,textbook,2022-04-08
これは私たちの街の地図です,This is our town map.,P88,textbook,2022-04-08
それは学校のシンボルです,It's the symbol foe ''school.'',P88,textbook,2022-04-08
彼はフィリピン出身です。,He's from the Philippines.,P88,textbook,2022-04-08
このあたりに住んでいますか？,Do you live around here?,P88,textbook,2022-04-08
どのように学校に来ていますか？,How do you come to school?,P88,textbook,2022-04-08
私は歩いて学校に行きます,I walk to school.,P88,textbook,2022-04-08
朝ごはんに何を食べましたか？,What do you have for breakfast?,P88,textbook,2022-04-08
ご飯と味噌汁を食べました。,I have rice and miso soup.,P88,textbook,2022-04-08
しかし一つの卵と一本のソーセージを食べました,I also have an egg and a sausage.,P88,textbook,2022-04-08
そのカバンの中には何が入っていますか？,What do you have in that bag?,P88,textbook,2022-04-08
どこで練習していますか？,Where do you practice?,P88,textbook,2022-04-08
音楽室です。,In the music room.,P88,textbook,2022-04-08
しかしコンサート前は私たちは体育館で練習しています。,"But before a concert, we practice in the gym.",P88,textbook,2022-04-08
次のコンサートはいつですか？,When is the next concert?,P88,textbook,2022-04-08
駅の近くです,It's near the station.,P88,textbook,2022-04-08
